Frame-No,RightHandIndex3-Joint-Posi-x,RightHandIndex3-Joint-Posi-y,RightHandIndex3-Joint-Posi-z,arm_length,forearm_length,hand_length,height
0.0,-0.17528,0.922173,0.250871,28.0,24.0,18.0,168.0
60.0,-0.169479,0.954177,0.301853,28.0,24.0,18.0,168.0
65.0,-0.152686,0.984284,0.361333,28.0,24.0,18.0,168.0
70.0,-0.134204,1.03623,0.427845,28.0,24.0,18.0,168.0
73.0,-0.103615,1.11457,0.495883,28.0,24.0,18.0,168.0
74.0,-0.0826024,1.17244,0.53337,28.0,24.0,18.0,168.0
77.0,-0.0504093,1.26004,0.573447,28.0,24.0,18.0,168.0
79.0,-0.0235318,1.32354,0.594182,28.0,24.0,18.0,168.0
84.0,0.00210008,1.38136,0.611462,28.0,24.0,18.0,168.0
89.0,0.0300423,1.4333,0.623071,28.0,24.0,18.0,168.0
98.0,0.0583555,1.48456,0.63299,28.0,24.0,18.0,168.0
114.0,0.0510969,1.53991,0.646951,28.0,24.0,18.0,168.0
149.0,0.0671444,1.59014,0.631021,28.0,24.0,18.0,168.0
