Frame-No,RightHandIndex3-Joint-Posi-x,RightHandIndex3-Joint-Posi-y,RightHandIndex3-Joint-Posi-z,arm_length,forearm_length,hand_length,height
0.0,-0.17519,0.922172,0.250846,28.0,24.0,18.0,168.0
54.0,-0.169479,0.954177,0.301853,28.0,24.0,18.0,168.0
58.0,-0.152686,0.984284,0.361333,28.0,24.0,18.0,168.0
63.0,-0.137858,1.02609,0.416148,28.0,24.0,18.0,168.0
66.0,-0.09851,1.1287,0.505197,28.0,24.0,18.0,168.0
69.0,-0.0767005,1.18799,0.541656,28.0,24.0,18.0,168.0
71.0,-0.0556385,1.24693,0.568769,28.0,24.0,18.0,168.0
74.0,-0.0286106,1.31112,0.590601,28.0,24.0,18.0,168.0
77.0,-0.00615647,1.36435,0.606502,28.0,24.0,18.0,168.0
83.0,0.0209275,1.41654,0.619693,28.0,24.0,18.0,168.0
89.0,0.0514105,1.46781,0.63026,28.0,24.0,18.0,168.0
103.0,0.0563945,1.51949,0.643993,28.0,24.0,18.0,168.0
125.0,0.050941,1.57078,0.644598,28.0,24.0,18.0,168.0
