Frame-No,RightHandIndex3-Joint-Posi-x,RightHandIndex3-Joint-Posi-y,RightHandIndex3-Joint-Posi-z,arm_length,forearm_length,hand_length,height
0.0,-0.128316,-0.2063600000000001,0.421882,28.0,24.0,18.0,168.0
7.0,-0.090691,-0.1541400000000001,0.424396,28.0,24.0,18.0,168.0
12.0,-0.0620101,-0.10365,0.422731,28.0,24.0,18.0,168.0
18.0,-0.0376564999999999,-0.0492099999999999,0.423668,28.0,24.0,18.0,168.0
28.0,-0.0039626999999999,0.00668,0.433482,28.0,24.0,18.0,168.0
38.0,0.02571398,0.0571199999999998,0.427331,28.0,24.0,18.0,168.0
45.0,0.058204825,0.1087699999999999,0.431257,28.0,24.0,18.0,168.0
61.0,0.09482545,0.1604749999999998,0.432936,28.0,24.0,18.0,168.0
71.0,0.142406,0.2149499999999999,0.443252,28.0,24.0,18.0,168.0
93.0,0.180902,0.2659099999999998,0.460079,28.0,24.0,18.0,168.0
