Frame-No,RightHandIndex3-Joint-Posi-x,RightHandIndex3-Joint-Posi-y,RightHandIndex3-Joint-Posi-z,arm_length,forearm_length,hand_length,height
0.0,-0.188319,0.905705,0.2326,28.0,24.0,18.0,168.0
69.0,-0.213317,0.957629,0.287998,28.0,24.0,18.0,168.0
74.0,-0.245135,1.02731,0.356731,28.0,24.0,18.0,168.0
78.0,-0.273965,1.07922,0.404001,28.0,24.0,18.0,168.0
81.0,-0.294226,1.13318,0.43886,28.0,24.0,18.0,168.0
83.0,-0.318259,1.19159,0.469765,28.0,24.0,18.0,168.0
86.0,-0.347666,1.26695,0.502351,28.0,24.0,18.0,168.0
88.0,-0.366283,1.3222,0.52093,28.0,24.0,18.0,168.0
91.0,-0.390864,1.391,0.538653,28.0,24.0,18.0,168.0
95.0,-0.42854,1.45808,0.555092,28.0,24.0,18.0,168.0
99.0,-0.452837,1.50836,0.561536,28.0,24.0,18.0,168.0
104.0,-0.479192,1.56548,0.565282,28.0,24.0,18.0,168.0
108.0,-0.496574,1.61592,0.566117,28.0,24.0,18.0,168.0
115.0,-0.516948,1.66946,0.561289,28.0,24.0,18.0,168.0
126.0,-0.550611,1.72465,0.538943,28.0,24.0,18.0,168.0
