Frame-No,RightHandIndex3-Joint-Posi-x,RightHandIndex3-Joint-Posi-y,RightHandIndex3-Joint-Posi-z,arm_length,forearm_length,hand_length,height
0.0,-0.213088,0.905977,0.224871,28.0,24.0,18.0,168.0
69.0,-0.222692,0.944141,0.280029,28.0,24.0,18.0,168.0
73.0,-0.233016,0.980959,0.334922,28.0,24.0,18.0,168.0
78.0,-0.245909,1.04046,0.405709,28.0,24.0,18.0,168.0
81.0,-0.255904,1.11222,0.471069,28.0,24.0,18.0,168.0
86.0,-0.262401,1.17522,0.520506,28.0,24.0,18.0,168.0
88.0,-0.265489,1.23109,0.554553,28.0,24.0,18.0,168.0
91.0,-0.266128,1.28312,0.584028,28.0,24.0,18.0,168.0
94.0,-0.26594,1.33691,0.612385,28.0,24.0,18.0,168.0
97.0,-0.264459,1.39031,0.638691,28.0,24.0,18.0,168.0
101.0,-0.264797,1.4449,0.665151,28.0,24.0,18.0,168.0
107.0,-0.255252,1.5072,0.684904,28.0,24.0,18.0,168.0
117.0,-0.242863,1.55931,0.687897,28.0,24.0,18.0,168.0
