Frame-No,RightHandIndex3-Joint-Posi-x,RightHandIndex3-Joint-Posi-y,RightHandIndex3-Joint-Posi-z,arm_length,forearm_length,hand_length,height
0.0,-0.17528,0.922173,0.250871,28.0,24.0,18.0,168.0
56.0,-0.169479,0.954177,0.301853,28.0,24.0,18.0,168.0
60.0,-0.1446,1.0072,0.394083,28.0,24.0,18.0,168.0
64.0,-0.115772,1.06677,0.438531,28.0,24.0,18.0,168.0
66.0,-0.0941325,1.14209,0.515056,28.0,24.0,18.0,168.0
68.0,-0.0712371,1.20241,0.548324,28.0,24.0,18.0,168.0
72.0,-0.0504093,1.26004,0.573447,28.0,24.0,18.0,168.0
75.0,-0.0286106,1.31112,0.590601,28.0,24.0,18.0,168.0
80.0,-0.00615647,1.36435,0.606502,28.0,24.0,18.0,168.0
85.0,0.0238326,1.42213,0.620832,28.0,24.0,18.0,168.0
93.0,0.056713,1.47813,0.631372,28.0,24.0,18.0,168.0
111.0,0.0510549,1.52823,0.646929,28.0,24.0,18.0,168.0
142.0,0.0619816,1.57826,0.63788,28.0,24.0,18.0,168.0
