Frame-No,RightHandIndex3-Joint-Posi-x,RightHandIndex3-Joint-Posi-y,RightHandIndex3-Joint-Posi-z,arm_length,forearm_length,hand_length,height
0.0,-0.175047,0.92224,0.250807,28.0,24.0,18.0,168.0
62.0,-0.169479,0.954177,0.301853,28.0,24.0,18.0,168.0
67.0,-0.1446,1.0072,0.394083,28.0,24.0,18.0,168.0
70.0,-0.115772,1.06677,0.438531,28.0,24.0,18.0,168.0
73.0,-0.103615,1.11457,0.495883,28.0,24.0,18.0,168.0
77.0,-0.0826024,1.17244,0.53337,28.0,24.0,18.0,168.0
79.0,-0.0608665,1.23233,0.562538,28.0,24.0,18.0,168.0
83.0,-0.0235318,1.32354,0.594182,28.0,24.0,18.0,168.0
87.0,0.00210008,1.38136,0.611462,28.0,24.0,18.0,168.0
93.0,0.0331378,1.43874,0.623836,28.0,24.0,18.0,168.0
100.0,0.0597146,1.48947,0.635023,28.0,24.0,18.0,168.0
114.0,0.0510969,1.53991,0.646951,28.0,24.0,18.0,168.0
149.0,0.0671444,1.59014,0.631021,28.0,24.0,18.0,168.0
