Frame-No,RightHandIndex3-Joint-Posi-x,RightHandIndex3-Joint-Posi-y,RightHandIndex3-Joint-Posi-z,arm_length,forearm_length,hand_length,height
0.0,-0.266009,-0.35508,0.401813,28.0,24.0,18.0,168.0
43.0,-0.2488085,-0.302315,0.4132985,28.0,24.0,18.0,168.0
50.0,-0.21641,-0.250375,0.419455,28.0,24.0,18.0,168.0
56.0,-0.185452,-0.1942149999999999,0.425432,28.0,24.0,18.0,168.0
62.0,-0.161933,-0.1423400000000001,0.426446,28.0,24.0,18.0,168.0
67.0,-0.144043,-0.0867299999999999,0.427013,28.0,24.0,18.0,168.0
72.0,-0.128069,-0.0315,0.427103,28.0,24.0,18.0,168.0
78.0,-0.113738,0.0186699999999999,0.429408,28.0,24.0,18.0,168.0
84.0,-0.101032,0.0703799999999998,0.433032,28.0,24.0,18.0,168.0
93.0,-0.084624,0.1209649999999998,0.4378805,28.0,24.0,18.0,168.0
113.0,-0.0684833,0.1716799999999998,0.438974,28.0,24.0,18.0,168.0
