Frame-No,RightHandIndex3-Joint-Posi-x,RightHandIndex3-Joint-Posi-y,RightHandIndex3-Joint-Posi-z,arm_length,forearm_length,hand_length,height
0.0,-0.202246,0.885894,0.224759,28.0,24.0,18.0,168.0
74.0,-0.211443,0.923926,0.275387,28.0,24.0,18.0,168.0
77.0,-0.218978,0.964092,0.326807,28.0,24.0,18.0,168.0
82.0,-0.230142,1.01778,0.386745,28.0,24.0,18.0,168.0
86.0,-0.241463,1.0843,0.450312,28.0,24.0,18.0,168.0
88.0,-0.250805,1.16767,0.506783,28.0,24.0,18.0,168.0
90.0,-0.251602,1.23128,0.534118,28.0,24.0,18.0,168.0
92.0,-0.25168,1.28577,0.556125,28.0,24.0,18.0,168.0
95.0,-0.252816,1.34017,0.574638,28.0,24.0,18.0,168.0
97.0,-0.251572,1.40245,0.593645,28.0,24.0,18.0,168.0
100.0,-0.252504,1.45413,0.608825,28.0,24.0,18.0,168.0
104.0,-0.254699,1.5101,0.624158,28.0,24.0,18.0,168.0
108.0,-0.252518,1.56549,0.637362,28.0,24.0,18.0,168.0
112.0,-0.244927,1.62446,0.646596,28.0,24.0,18.0,168.0
120.0,-0.243857,1.68211,0.650212,28.0,24.0,18.0,168.0
131.0,-0.251483,1.73292,0.641186,28.0,24.0,18.0,168.0
