1 74 60 127 135 170 1
1 64 67 108 139 204 1
1 75 74 94 132 177 1
1 67 64 105 127 198 1
1 67 72 93 112 185 1
1 69 55 99 112 206 1
1 70 66 102 95 181 0
1 62 73 87 110 169 0
1 62 65 77 123 203 1
1 61 78 74 112 193 1
1 68 68 80 107 200 1
1 66 65 87 98 204 1
1 67 58 75 112 206 1
1 67 76 96 72 193 0
1 76 74 111 106 192 1
1 74 79 111 102 195 1
1 75 69 128 91 203 1
1 76 73 98 111 198 1
1 69 78 107 103 200 1
1 71 81 92 106 207 1
1 65 81 106 98 190 1
1 73 75 108 94 203 1
1 68 73 111 97 174 1
1 71 70 113 94 188.5 1
1 71 64 129 84 181 1
1 63 72 109 97 195 1
1 74 68 104 95 199 1
1 70 67 117 87 195 1
1 74 70 103 93 202 1
1 64 75 88 111 177 1
1 72 61 99 102 193 1
1 71 75 100 88 192 1
1 76 75 105 78 194 1
1 75 74 100 84 214 1
1 70 82 71 109 215 1
1 71 51 118 92 190 1
1 70 79 79 102 202 1
1 70 75 90 93 204 1
1 74 73 90 91 204 1
1 70 65 114 79 206 1
1 67 69 95 96 182 1
1 64 74 88 100 207 1
1 68 69 93 96 206 1
1 68 74 89 95 192 1
1 69 63 109 85 193 1
1 68 69 93 94 190 1
1 80 54 109 80 181 1
1 68 64 78 112 152 1
1 67 74 92 89 208 1
1 72 68 100 79 200 1
1 73 68 100 78 201 1
1 63 77 88 90 187 1
1 73 61 96 88 212 1
1 58 65 90 103 187 1
1 68 83 75 90 197 1
1 68 74 85 89 192 1
1 63 79 85 88 200 1
1 67 64 86 97 196 1
1 74 77 74 89 182 1
1 68 69 105 72 181 1
1 69 63 93 88 204 1
1 68 65 98 78 190 1
1 66 80 85 78 192 1
1 66 63 90 88 186 1
1 65 82 84 76 173 1
1 62 83 88 74 184 1
1 78 51 100 77 157 0
1 75 77 80 73 185 1
1 65 75 72 92 192 1
1 66 59 89 90 208 1
1 75 76 76 77 192 1
1 71 58 100 75 183 1
1 55 58 105 85 187 1
1 76 72 78 76 199 1
1 61 68 94 78 170 0
1 67 69 70 94 192 1
1 69 73 81 77 189 1
1 53 82 89 83 192 1
1 64 75 88 120 203 1
1 66 73 90 114 193 1
1 75 69 86 113 189 1
1 58 72 90 118 180 1
1 68 69 84 115 185 1
1 71 71 77 108 196 1
2 74 75 97 88 187 1
2 74 73 120 109 189 1
2 61 81 97 89 181 1
2 69 73 103 80 170 1
2 63 78 147 132 205 1
2 76 78 144 119 214 1
2 82 76 134 119 210 1
2 77 82 121 125 195 1
2 70 79 130 122 193 1
2 74 76 140 109 208 1
2 71 79 123 121 193 1
2 73 77 116 125 183 1
2 70 78 127 116 184 1
2 70 74 139 105 210 1
2 81 85 119 98 200 1
2 75 71 113 123 201 1
2 66 80 117 119 187 1
2 66 78 119 119 207 1
2 75 75 118 114 186 1
2 74 83 129 96 193 1
