Frame-No,RightHandIndex3-Joint-Posi-x,RightHandIndex3-Joint-Posi-y,RightHandIndex3-Joint-Posi-z
0,-0.2063,0.935777,0.263097
1,-0.206506,0.935608,0.262834
2,-0.206246,0.935548,0.262662
3,-0.206204,0.935567,0.262634
4,-0.20622,0.935556,0.262586
5,-0.206473,0.935458,0.262414
6,-0.206519,0.935435,0.262417
7,-0.20644,0.935407,0.262446
8,-0.206322,0.935416,0.26248
9,-0.206275,0.935404,0.262506
10,-0.206468,0.935283,0.262502
11,-0.206647,0.935134,0.262442
12,-0.20667,0.935077,0.262427
13,-0.206606,0.935033,0.262428
14,-0.206523,0.935011,0.262414
15,-0.206396,0.934981,0.262373
16,-0.20646,0.934994,0.262394
17,-0.206524,0.934993,0.262381
18,-0.206728,0.93501,0.262338
19,-0.206692,0.935044,0.262298
20,-0.206593,0.935054,0.262309
21,-0.206574,0.935063,0.26234
22,-0.206487,0.935123,0.262434
23,-0.206544,0.935137,0.262449
24,-0.206878,0.935102,0.262297
25,-0.206838,0.935223,0.262342
26,-0.206774,0.935251,0.262338
27,-0.206745,0.935256,0.262322
28,-0.2068,0.935226,0.262305
29,-0.206918,0.935145,0.262275
30,-0.207143,0.934922,0.262089
31,-0.207242,0.934844,0.262016
32,-0.20732,0.934782,0.261951
33,-0.207243,0.934698,0.261865
34,-0.20741,0.934765,0.261896
35,-0.207565,0.934769,0.261806
36,-0.207617,0.934784,0.261802
37,-0.207618,0.934811,0.261802
38,-0.207575,0.934834,0.261815
39,-0.207526,0.934857,0.261839
40,-0.207454,0.934856,0.26183
41,-0.207458,0.934872,0.26184
42,-0.207525,0.934861,0.261812
43,-0.207622,0.934848,0.261768
44,-0.207707,0.934791,0.261632
45,-0.207599,0.934829,0.261686
46,-0.207527,0.934848,0.261756
47,-0.207491,0.934879,0.261841
48,-0.20754,0.934901,0.261903
49,-0.207624,0.934893,0.261918
50,-0.2078,0.934898,0.261919
51,-0.207825,0.934927,0.261937
52,-0.207802,0.93498,0.261991
53,-0.207487,0.935104,0.262207
54,-0.207528,0.934984,0.262322
55,-0.207434,0.934863,0.26234
56,-0.207147,0.9347,0.262358
57,-0.206817,0.934486,0.262357
58,-0.205602,0.933824,0.262299
59,-0.204793,0.933665,0.262388
60,-0.204229,0.933158,0.263226
61,-0.204901,0.933303,0.26419
62,-0.205303,0.933734,0.2652
63,-0.204691,0.932528,0.264317
64,-0.206481,0.941224,0.275505
65,-0.208701,0.945642,0.280282
66,-0.211589,0.951034,0.285702
67,-0.214977,0.954074,0.289893
68,-0.224844,0.970782,0.305103
69,-0.240535,0.995769,0.329225
70,-0.253893,1.01497,0.34807
71,-0.259993,1.02205,0.356222
72,-0.266717,1.02847,0.364692
73,-0.28476,1.05434,0.386242
74,-0.300126,1.07598,0.405349
75,-0.308575,1.08868,0.415826
76,-0.326604,1.11548,0.436046
77,-0.335067,1.12859,0.444574
78,-0.337801,1.13715,0.446095
79,-0.353218,1.15333,0.462316
80,-0.370005,1.1763,0.477972
81,-0.378118,1.18652,0.485907
82,-0.386075,1.19602,0.493797
83,-0.395783,1.20823,0.501228
84,-0.413346,1.22726,0.5141
85,-0.421792,1.23694,0.520373
86,-0.441216,1.26398,0.536092
87,-0.452785,1.2818,0.544979
88,-0.459289,1.29061,0.548623
89,-0.47193,1.30623,0.554807
90,-0.478436,1.314,0.557932
91,-0.489547,1.32806,0.563756
92,-0.502892,1.34599,0.570657
93,-0.514394,1.35636,0.572899
94,-0.517836,1.36245,0.574526
95,-0.521616,1.36815,0.575673
96,-0.529674,1.36961,0.574856
97,-0.533819,1.37274,0.5752
98,-0.536785,1.37519,0.575546
99,-0.539831,1.37844,0.57602
100,-0.546389,1.3835,0.575903
101,-0.550755,1.38433,0.574607
102,-0.559646,1.38693,0.571638
103,-0.570484,1.38886,0.566161
104,-0.572963,1.38905,0.564345
105,-0.576574,1.39256,0.561517
106,-0.578431,1.39408,0.559755
107,-0.579612,1.39623,0.55848
108,-0.585351,1.38335,0.551414
109,-0.586449,1.3846,0.549459
110,-0.587453,1.38513,0.547939
111,-0.589663,1.38198,0.544728
112,-0.587306,1.38748,0.546447
113,-0.585186,1.39846,0.550309
114,-0.586625,1.39792,0.549363
115,-0.586995,1.39603,0.548626
116,-0.587462,1.3927,0.547132
117,-0.587391,1.39182,0.546768
118,-0.587129,1.39207,0.546881
119,-0.587026,1.39265,0.547126
120,-0.587264,1.39297,0.547094
121,-0.587512,1.39205,0.546627
122,-0.587984,1.3899,0.545602
123,-0.588105,1.38889,0.545189
124,-0.588223,1.38811,0.544891
125,-0.588311,1.38776,0.544781
126,-0.588432,1.3877,0.544769
127,-0.588545,1.38782,0.544795
128,-0.588542,1.38785,0.54483
129,-0.588407,1.38781,0.544902
130,-0.589977,1.38679,0.543839
131,-0.590476,1.38724,0.543695
132,-0.590674,1.3873,0.543565
133,-0.590542,1.38731,0.543593
134,-0.590155,1.38723,0.543817
135,-0.589296,1.38721,0.544388
136,-0.589227,1.38756,0.544597
137,-0.589087,1.38949,0.54534
138,-0.588499,1.39004,0.545855
139,-0.587738,1.3903,0.546403
140,-0.586636,1.39048,0.547205
141,-0.586358,1.39075,0.547548
142,-0.586165,1.39123,0.547925
143,-0.58584,1.39188,0.548424
144,-0.584107,1.3934,0.550225
145,-0.579549,1.39586,0.553955
146,-0.577451,1.39742,0.555903
147,-0.575037,1.39957,0.558264
148,-0.569784,1.40441,0.563261
149,-0.567394,1.40661,0.56539
