Frame-No,RightHandIndex3-Joint-Posi-x,RightHandIndex3-Joint-Posi-y,RightHandIndex3-Joint-Posi-z
0,-0.21314,0.905823,0.224695
1,-0.213024,0.905739,0.224542
2,-0.212939,0.905733,0.224514
3,-0.212658,0.905758,0.224485
4,-0.212511,0.905746,0.22447
5,-0.212419,0.905719,0.22448
6,-0.212404,0.905636,0.224445
7,-0.212416,0.905581,0.224409
8,-0.212393,0.905591,0.224378
9,-0.21241,0.905701,0.224498
10,-0.212388,0.905731,0.22453
11,-0.212333,0.905733,0.224556
12,-0.212251,0.905713,0.224538
13,-0.212211,0.905695,0.224502
14,-0.212073,0.905653,0.224335
15,-0.212023,0.905668,0.224291
16,-0.211953,0.905705,0.224225
17,-0.211938,0.905717,0.224215
18,-0.211887,0.905694,0.22418
19,-0.211816,0.905585,0.224042
20,-0.211698,0.905434,0.223817
21,-0.211638,0.905385,0.223737
22,-0.211616,0.905352,0.22364
23,-0.211693,0.905407,0.223572
24,-0.211721,0.905461,0.223583
25,-0.211772,0.905562,0.223631
26,-0.211727,0.905608,0.223596
27,-0.211708,0.905593,0.223529
28,-0.211666,0.905473,0.223218
29,-0.211722,0.905428,0.223029
30,-0.211694,0.905447,0.223018
31,-0.211656,0.905459,0.222988
32,-0.211556,0.90545,0.222953
33,-0.211503,0.905429,0.22291
34,-0.211438,0.905417,0.222863
35,-0.211588,0.905431,0.222743
36,-0.211685,0.905484,0.222682
37,-0.211863,0.905577,0.222655
38,-0.212066,0.905631,0.222601
39,-0.212246,0.905594,0.222445
40,-0.212298,0.905566,0.22238
41,-0.21232,0.905514,0.222291
42,-0.212206,0.905572,0.222309
43,-0.211902,0.905602,0.222338
44,-0.211763,0.905603,0.222384
45,-0.211636,0.905577,0.222413
46,-0.211308,0.905465,0.222339
47,-0.210433,0.905416,0.22258
48,-0.209979,0.905697,0.22323
49,-0.209703,0.905797,0.223398
50,-0.209548,0.90595,0.223626
51,-0.209526,0.905998,0.223945
52,-0.20957,0.905929,0.224226
53,-0.209028,0.906328,0.225364
54,-0.208725,0.907,0.226279
55,-0.208548,0.907824,0.227278
56,-0.20859,0.908788,0.228494
57,-0.209658,0.910782,0.232015
58,-0.2102,0.910533,0.232318
59,-0.210622,0.910091,0.232437
60,-0.211141,0.910186,0.233182
61,-0.213536,0.916815,0.242197
62,-0.214608,0.919538,0.245666
63,-0.215805,0.922641,0.249402
64,-0.217193,0.925522,0.253129
65,-0.220882,0.936649,0.268061
66,-0.221893,0.940012,0.273443
67,-0.223407,0.948327,0.287038
68,-0.224346,0.952618,0.294351
69,-0.225415,0.95731,0.30157
70,-0.233016,0.980959,0.334922
71,-0.239053,1.00413,0.364227
72,-0.242054,1.02121,0.384105
73,-0.243906,1.03044,0.394799
74,-0.245909,1.04046,0.405709
75,-0.248394,1.04846,0.415777
76,-0.251489,1.07297,0.437843
77,-0.254733,1.09917,0.460875
78,-0.255904,1.11222,0.471069
79,-0.25774,1.12408,0.481597
80,-0.259235,1.13719,0.492205
81,-0.2605,1.14994,0.502356
82,-0.262321,1.16097,0.511795
83,-0.262401,1.17522,0.520506
84,-0.264504,1.20283,0.538707
85,-0.265241,1.21743,0.547339
86,-0.265489,1.23109,0.554553
87,-0.2679,1.23662,0.56186
88,-0.266391,1.25766,0.569973
89,-0.266128,1.28312,0.584028
90,-0.265907,1.30424,0.596007
91,-0.26594,1.33691,0.612385
92,-0.265832,1.34758,0.617451
93,-0.265164,1.37607,0.631061
94,-0.264073,1.38288,0.634631
95,-0.266665,1.41148,0.648923
96,-0.266973,1.4181,0.65213
97,-0.266915,1.42418,0.655211
98,-0.266535,1.42974,0.658077
99,-0.266248,1.43439,0.660341
100,-0.264797,1.4449,0.665151
101,-0.264005,1.4502,0.667368
102,-0.263099,1.45562,0.669495
103,-0.262009,1.4601,0.671249
104,-0.264352,1.47142,0.674928
105,-0.261723,1.47942,0.677824
106,-0.260286,1.48366,0.679049
107,-0.259242,1.48809,0.680156
108,-0.258266,1.49628,0.682177
109,-0.257329,1.50024,0.683241
110,-0.256461,1.50387,0.684169
111,-0.250215,1.51715,0.686294
112,-0.248687,1.52087,0.686743
113,-0.246456,1.53576,0.687631
114,-0.244699,1.542,0.68795
115,-0.243633,1.5446,0.688027
116,-0.242158,1.54788,0.688098
117,-0.240882,1.55458,0.688049
118,-0.241409,1.55752,0.687986
119,-0.242863,1.55931,0.687897
120,-0.246305,1.56095,0.687661
121,-0.247566,1.56106,0.687511
122,-0.247434,1.56445,0.687146
123,-0.247064,1.56806,0.686703
124,-0.24733,1.57061,0.686262
125,-0.24767,1.5716,0.686044
126,-0.247955,1.57254,0.685845
127,-0.250821,1.57739,0.685045
128,-0.250692,1.57837,0.684893
129,-0.250899,1.5795,0.684714
130,-0.251278,1.58073,0.684534
131,-0.251767,1.58304,0.684237
132,-0.251552,1.58495,0.684051
133,-0.252691,1.58442,0.684009
134,-0.253022,1.58439,0.683997
135,-0.253079,1.58442,0.684025
136,-0.251273,1.5844,0.684333
137,-0.250623,1.58456,0.684397
138,-0.250008,1.58481,0.684444
139,-0.249354,1.58474,0.684574
140,-0.247765,1.58419,0.68478
141,-0.246572,1.58346,0.684921
142,-0.245708,1.58458,0.684715
143,-0.246036,1.5841,0.684725
144,-0.246086,1.58342,0.684727
145,-0.24661,1.58232,0.684669
146,-0.247123,1.58186,0.684594
147,-0.248755,1.58054,0.684294
148,-0.249074,1.57955,0.684222
149,-0.240197,1.58544,0.682846
