Frame-No,RightHandIndex3-Joint-Posi-x,RightHandIndex3-Joint-Posi-y,RightHandIndex3-Joint-Posi-z
4,-0.208203,-0.3928100000000001,0.42975
6,-0.208225,-0.3928400000000001,0.429963
7,-0.208224,-0.3928500000000001,0.430061
8,-0.208236,-0.39286,0.430139
9,-0.208227,-0.3929100000000001,0.430192
10,-0.208211,-0.39293,0.430243
12,-0.208115,-0.3929100000000001,0.430306
13,-0.208088,-0.3929,0.430314
15,-0.208041,-0.39283,0.430355
16,-0.207991,-0.3927800000000001,0.430436
18,-0.20794,-0.3927500000000001,0.430559
22,-0.207885,-0.3926400000000001,0.430631
23,-0.207858,-0.3926,0.430628
24,-0.207861,-0.39256,0.43063
27,-0.207723,-0.39249,0.430693
29,-0.207675,-0.39246,0.430799
32,-0.207665,-0.3924100000000001,0.430921
33,-0.207638,-0.39235,0.430949
34,-0.207626,-0.39235,0.43095
35,-0.207603,-0.39226,0.430968
36,-0.207597,-0.3922400000000001,0.430971
38,-0.207645,-0.3921400000000001,0.43101
40,-0.207607,-0.3920700000000001,0.431098
41,-0.2076,-0.3920700000000001,0.43111
43,-0.207605,-0.3920600000000001,0.431114
46,-0.207661,-0.3920600000000001,0.431047
47,-0.207703,-0.39205,0.431012
49,-0.207697,-0.3920600000000001,0.431022
50,-0.207678,-0.3920700000000001,0.431036
52,-0.207677,-0.39209,0.431026
54,-0.207653,-0.39208,0.430988
56,-0.20771,-0.3920100000000002,0.430928
57,-0.207745,-0.3919600000000001,0.430912
58,-0.207816,-0.3919300000000001,0.430897
59,-0.207833,-0.39192,0.430875
60,-0.207871,-0.3919400000000002,0.430878
61,-0.207866,-0.39195,0.430881
62,-0.207859,-0.3919600000000001,0.430911
63,-0.207891,-0.39198,0.430927
67,-0.20794,-0.3918600000000001,0.430924
68,-0.207913,-0.39178,0.430885
71,-0.207924,-0.3917000000000001,0.43069
72,-0.207932,-0.3916700000000002,0.430634
75,-0.207888,-0.39161,0.430637
76,-0.207939,-0.3916300000000001,0.43065
77,-0.208006,-0.3916200000000001,0.430668
78,-0.208092,-0.39161,0.430682
81,-0.208055,-0.3916600000000001,0.430696
84,-0.208109,-0.3917300000000001,0.430739
85,-0.208114,-0.39172,0.430777
86,-0.207991,-0.3917900000000001,0.430811
87,-0.207758,-0.39199,0.430852
88,-0.207555,-0.3921400000000001,0.430962
91,-0.207475,-0.3895699999999999,0.432362
92,-0.207199,-0.3875900000000001,0.432663
94,-0.205496,-0.3823500000000002,0.43234
95,-0.204111,-0.3785700000000001,0.432002
96,-0.202334,-0.3739100000000002,0.431499
97,-0.20051,-0.3683100000000001,0.430775
98,-0.198051,-0.36247,0.429841
100,-0.19084,-0.34674,0.427004
101,-0.186012,-0.3375400000000002,0.425754
103,-0.174987,-0.31775,0.422676
104,-0.168572,-0.3061200000000001,0.421011
108,-0.139524,-0.2544000000000002,0.413673
109,-0.132211,-0.24069,0.411363
110,-0.123896,-0.2250100000000001,0.409026
111,-0.116002,-0.20934,0.407398
115,-0.088431,-0.14484,0.398751
116,-0.083539,-0.13005,0.397361
117,-0.078576,-0.1154600000000001,0.396226
121,-0.059014,-0.0584299999999999,0.392126
123,-0.0504171,-0.0295800000000001,0.389071
124,-0.0460802,-0.01471,0.388929
126,-0.0374397,0.0140399999999998,0.388961
128,-0.0262409,0.0405299999999999,0.388238
129,-0.0198434999999999,0.0534399999999999,0.38843
131,-0.0093252999999999,0.0786999999999999,0.3883
133,-0.0019744999999999,0.1034199999999998,0.385363
134,0.0013072,0.11602,0.384289
135,0.0057682,0.1275599999999999,0.387091
136,0.0097772,0.1374999999999999,0.389441
140,0.03298112,0.1792199999999999,0.38159
141,0.03868066,0.1888499999999999,0.381677
144,0.05241,0.21702,0.38245
147,0.0646035,0.2416899999999999,0.386405
148,0.069724,0.2495499999999999,0.38816
149,0.0746352,0.2554299999999998,0.389703
151,0.0852661,0.2675099999999999,0.391726
152,0.0896944,0.2735399999999999,0.39221
154,0.0979809,0.2838999999999998,0.391993
155,0.1029632,0.2887899999999999,0.392143
158,0.1173015999999999,0.3010299999999999,0.39387
159,0.1215750999999999,0.3046799999999998,0.39423
160,0.1256212,0.3078799999999999,0.394505
163,0.135704,0.3161099999999999,0.394936
164,0.13866,0.3188599999999999,0.395545
165,0.142062,0.3210899999999999,0.396343
166,0.14571,0.32328,0.39701
168,0.151785,0.32741,0.397626
172,0.151534,0.3258799999999999,0.403557
174,0.163347,0.3390299999999999,0.401965
178,0.1699169999999999,0.3447199999999999,0.405579
179,0.170773,0.3465799999999999,0.406183
181,0.172338,0.3492699999999999,0.407429
182,0.1727759999999999,0.34975,0.413048
186,0.173316,0.35504,0.421263
189,0.171565,0.3596699999999999,0.428345
190,0.170853,0.3611499999999998,0.429973
191,0.170025,0.3624999999999998,0.431447
