Frame-No,RightHandIndex3-Joint-Posi-x,RightHandIndex3-Joint-Posi-y,RightHandIndex3-Joint-Posi-z
0,-0.213088,0.905977,0.224871
4,-0.213084,0.905767,0.224603
5,-0.213024,0.905739,0.224542
7,-0.212797,0.905744,0.224502
8,-0.212658,0.905758,0.224485
9,-0.212511,0.905746,0.22447
10,-0.212445,0.905737,0.224481
11,-0.212419,0.905719,0.22448
14,-0.212416,0.905581,0.224409
15,-0.212401,0.905561,0.224383
16,-0.212402,0.90556,0.224372
17,-0.212393,0.905591,0.224378
19,-0.2124,0.905668,0.224459
20,-0.21241,0.905701,0.224498
22,-0.212333,0.905733,0.224556
23,-0.212251,0.905713,0.224538
27,-0.212023,0.905668,0.224291
31,-0.211887,0.905694,0.22418
34,-0.21177,0.905514,0.22394
35,-0.211698,0.905434,0.223817
36,-0.211638,0.905385,0.223737
37,-0.211616,0.905352,0.22364
40,-0.211721,0.905461,0.223583
41,-0.211738,0.905503,0.223593
43,-0.211752,0.905599,0.223614
44,-0.211727,0.905608,0.223596
46,-0.211676,0.905565,0.223436
47,-0.211656,0.905529,0.223329
48,-0.211666,0.905473,0.223218
49,-0.211694,0.905438,0.223109
50,-0.211717,0.905429,0.223062
51,-0.211722,0.905428,0.223029
52,-0.211694,0.905447,0.223018
53,-0.211656,0.905459,0.222988
54,-0.211638,0.905452,0.222971
56,-0.211503,0.905429,0.22291
57,-0.211438,0.905417,0.222863
58,-0.211466,0.905416,0.222823
60,-0.211588,0.905431,0.222743
61,-0.211612,0.905444,0.2227
62,-0.211685,0.905484,0.222682
63,-0.21174,0.905528,0.222676
64,-0.211863,0.905577,0.222655
65,-0.211957,0.905609,0.222636
66,-0.212066,0.905631,0.222601
69,-0.212298,0.905566,0.22238
73,-0.212206,0.905572,0.222309
74,-0.212063,0.905599,0.222336
75,-0.211902,0.905602,0.222338
79,-0.211308,0.905465,0.222339
80,-0.211187,0.905456,0.222358
83,-0.210433,0.905416,0.22258
84,-0.210223,0.905517,0.222852
86,-0.209703,0.905797,0.223398
87,-0.209548,0.90595,0.223626
89,-0.209526,0.905998,0.223945
92,-0.209028,0.906328,0.225364
95,-0.20859,0.908788,0.228494
96,-0.208834,0.909685,0.229807
98,-0.209658,0.910782,0.232015
99,-0.2102,0.910533,0.232318
100,-0.210622,0.910091,0.232437
101,-0.210835,0.909875,0.232613
103,-0.211731,0.910852,0.234118
104,-0.213536,0.916815,0.242197
107,-0.217193,0.925522,0.253129
108,-0.218686,0.9291,0.257773
110,-0.220882,0.936649,0.268061
113,-0.223407,0.948327,0.287038
115,-0.225415,0.95731,0.30157
116,-0.22722,0.961683,0.308917
118,-0.231287,0.973789,0.326146
120,-0.235245,0.987569,0.343875
122,-0.239053,1.00413,0.364227
123,-0.240702,1.013,0.374775
125,-0.243906,1.03044,0.394799
126,-0.245909,1.04046,0.405709
127,-0.248394,1.04846,0.415777
129,-0.251489,1.07297,0.437843
130,-0.250095,1.08382,0.441962
131,-0.254733,1.09917,0.460875
132,-0.255904,1.11222,0.471069
134,-0.259235,1.13719,0.492205
135,-0.2605,1.14994,0.502356
136,-0.262321,1.16097,0.511795
138,-0.263593,1.18829,0.529652
139,-0.264504,1.20283,0.538707
141,-0.265489,1.23109,0.554553
143,-0.266391,1.25766,0.569973
147,-0.265907,1.30424,0.596007
149,-0.266012,1.32698,0.607776
150,-0.26594,1.33691,0.612385
154,-0.265164,1.37607,0.631061
155,-0.264073,1.38288,0.634631
156,-0.264459,1.39031,0.638691
157,-0.264626,1.39782,0.642472
160,-0.266973,1.4181,0.65213
161,-0.266915,1.42418,0.655211
162,-0.266535,1.42974,0.658077
163,-0.266248,1.43439,0.660341
164,-0.265702,1.44,0.662806
165,-0.264797,1.4449,0.665151
166,-0.264005,1.4502,0.667368
167,-0.263099,1.45562,0.669495
168,-0.262009,1.4601,0.671249
169,-0.265239,1.46686,0.673061
172,-0.261723,1.47942,0.677824
175,-0.258536,1.4926,0.681237
176,-0.258266,1.49628,0.682177
179,-0.255252,1.5072,0.684904
180,-0.253874,1.50984,0.685387
182,-0.250215,1.51715,0.686294
183,-0.248687,1.52087,0.686743
184,-0.247297,1.52441,0.687172
186,-0.246456,1.53576,0.687631
187,-0.245723,1.53905,0.687814
190,-0.242158,1.54788,0.688098
193,-0.241409,1.55752,0.687986
194,-0.242863,1.55931,0.687897
195,-0.244496,1.56059,0.687792
196,-0.246305,1.56095,0.687661
198,-0.247683,1.56259,0.687336
199,-0.247434,1.56445,0.687146
201,-0.247064,1.56806,0.686703
203,-0.24733,1.57061,0.686262
207,-0.25114,1.57647,0.685184
210,-0.250899,1.5795,0.684714
211,-0.251278,1.58073,0.684534
212,-0.251524,1.58185,0.684386
214,-0.25179,1.58401,0.684136
215,-0.251598,1.58465,0.684085
217,-0.251764,1.58494,0.684031
218,-0.252212,1.58466,0.684021
221,-0.253079,1.58442,0.684025
222,-0.252696,1.58438,0.684116
223,-0.252029,1.58432,0.684234
226,-0.250008,1.58481,0.684444
228,-0.249354,1.58474,0.684574
229,-0.248062,1.58482,0.684667
232,-0.247001,1.58334,0.684929
233,-0.246572,1.58346,0.684921
234,-0.247075,1.58278,0.68496
235,-0.245708,1.58458,0.684715
236,-0.246036,1.5841,0.684725
237,-0.246228,1.58368,0.684726
238,-0.246086,1.58342,0.684727
239,-0.246319,1.58283,0.684713
240,-0.24661,1.58232,0.684669
243,-0.248312,1.58122,0.684381
245,-0.249074,1.57955,0.684222
