Frame-No,RightHandIndex3-Joint-Posi-x,RightHandIndex3-Joint-Posi-y,RightHandIndex3-Joint-Posi-z
0,-0.213088,0.905977,0.224871
2,-0.213134,0.905886,0.224751
3,-0.21314,0.905823,0.224695
5,-0.213024,0.905739,0.224542
8,-0.212658,0.905758,0.224485
9,-0.212511,0.905746,0.22447
10,-0.212445,0.905737,0.224481
11,-0.212419,0.905719,0.22448
15,-0.212401,0.905561,0.224383
16,-0.212402,0.90556,0.224372
17,-0.212393,0.905591,0.224378
18,-0.212389,0.905624,0.224414
19,-0.2124,0.905668,0.224459
21,-0.212388,0.905731,0.22453
22,-0.212333,0.905733,0.224556
23,-0.212251,0.905713,0.224538
24,-0.212211,0.905695,0.224502
26,-0.212073,0.905653,0.224335
29,-0.211953,0.905705,0.224225
31,-0.211887,0.905694,0.22418
32,-0.211861,0.905648,0.22412
33,-0.211816,0.905585,0.224042
37,-0.211616,0.905352,0.22364
38,-0.211641,0.905375,0.223577
40,-0.211721,0.905461,0.223583
41,-0.211738,0.905503,0.223593
42,-0.211772,0.905562,0.223631
43,-0.211752,0.905599,0.223614
45,-0.211708,0.905593,0.223529
49,-0.211694,0.905438,0.223109
50,-0.211717,0.905429,0.223062
51,-0.211722,0.905428,0.223029
52,-0.211694,0.905447,0.223018
54,-0.211638,0.905452,0.222971
55,-0.211556,0.90545,0.222953
56,-0.211503,0.905429,0.22291
57,-0.211438,0.905417,0.222863
61,-0.211612,0.905444,0.2227
62,-0.211685,0.905484,0.222682
65,-0.211957,0.905609,0.222636
67,-0.212133,0.905633,0.222542
69,-0.212298,0.905566,0.22238
72,-0.212288,0.905532,0.222293
73,-0.212206,0.905572,0.222309
75,-0.211902,0.905602,0.222338
79,-0.211308,0.905465,0.222339
80,-0.211187,0.905456,0.222358
82,-0.210762,0.905364,0.222366
84,-0.210223,0.905517,0.222852
86,-0.209703,0.905797,0.223398
87,-0.209548,0.90595,0.223626
88,-0.209457,0.906023,0.22377
91,-0.209389,0.906072,0.224766
92,-0.209028,0.906328,0.225364
93,-0.208725,0.907,0.226279
94,-0.208548,0.907824,0.227278
96,-0.208834,0.909685,0.229807
97,-0.209138,0.910327,0.230871
98,-0.209658,0.910782,0.232015
99,-0.2102,0.910533,0.232318
100,-0.210622,0.910091,0.232437
101,-0.210835,0.909875,0.232613
102,-0.211141,0.910186,0.233182
103,-0.211731,0.910852,0.234118
105,-0.214608,0.919538,0.245666
107,-0.217193,0.925522,0.253129
109,-0.219961,0.932813,0.262821
110,-0.220882,0.936649,0.268061
111,-0.221893,0.940012,0.273443
112,-0.222692,0.944141,0.280029
113,-0.223407,0.948327,0.287038
115,-0.225415,0.95731,0.30157
117,-0.229252,0.967362,0.317284
119,-0.233016,0.980959,0.334922
120,-0.235245,0.987569,0.343875
121,-0.237262,0.99567,0.353929
122,-0.239053,1.00413,0.364227
123,-0.240702,1.013,0.374775
126,-0.245909,1.04046,0.405709
127,-0.248394,1.04846,0.415777
129,-0.251489,1.07297,0.437843
132,-0.255904,1.11222,0.471069
133,-0.25774,1.12408,0.481597
134,-0.259235,1.13719,0.492205
135,-0.2605,1.14994,0.502356
136,-0.262321,1.16097,0.511795
137,-0.262401,1.17522,0.520506
138,-0.263593,1.18829,0.529652
141,-0.265489,1.23109,0.554553
142,-0.2679,1.23662,0.56186
144,-0.266325,1.27078,0.577164
145,-0.266128,1.28312,0.584028
146,-0.265938,1.29302,0.589675
149,-0.266012,1.32698,0.607776
150,-0.26594,1.33691,0.612385
152,-0.265013,1.35128,0.617223
154,-0.265164,1.37607,0.631061
156,-0.264459,1.39031,0.638691
158,-0.265992,1.40538,0.646045
159,-0.266665,1.41148,0.648923
161,-0.266915,1.42418,0.655211
165,-0.264797,1.4449,0.665151
169,-0.265239,1.46686,0.673061
170,-0.264352,1.47142,0.674928
172,-0.261723,1.47942,0.677824
173,-0.260286,1.48366,0.679049
175,-0.258536,1.4926,0.681237
179,-0.255252,1.5072,0.684904
180,-0.253874,1.50984,0.685387
182,-0.250215,1.51715,0.686294
183,-0.248687,1.52087,0.686743
184,-0.247297,1.52441,0.687172
186,-0.246456,1.53576,0.687631
187,-0.245723,1.53905,0.687814
188,-0.244699,1.542,0.68795
191,-0.241206,1.55128,0.68809
192,-0.240882,1.55458,0.688049
194,-0.242863,1.55931,0.687897
195,-0.244496,1.56059,0.687792
198,-0.247683,1.56259,0.687336
199,-0.247434,1.56445,0.687146
201,-0.247064,1.56806,0.686703
203,-0.24733,1.57061,0.686262
204,-0.24767,1.5716,0.686044
205,-0.247955,1.57254,0.685845
207,-0.25114,1.57647,0.685184
209,-0.250692,1.57837,0.684893
210,-0.250899,1.5795,0.684714
211,-0.251278,1.58073,0.684534
212,-0.251524,1.58185,0.684386
215,-0.251598,1.58465,0.684085
217,-0.251764,1.58494,0.684031
218,-0.252212,1.58466,0.684021
219,-0.252691,1.58442,0.684009
221,-0.253079,1.58442,0.684025
222,-0.252696,1.58438,0.684116
224,-0.251273,1.5844,0.684333
225,-0.250623,1.58456,0.684397
227,-0.249393,1.58506,0.684488
228,-0.249354,1.58474,0.684574
229,-0.248062,1.58482,0.684667
230,-0.247765,1.58419,0.68478
231,-0.247354,1.58361,0.684883
233,-0.246572,1.58346,0.684921
234,-0.247075,1.58278,0.68496
235,-0.245708,1.58458,0.684715
237,-0.246228,1.58368,0.684726
238,-0.246086,1.58342,0.684727
241,-0.247123,1.58186,0.684594
245,-0.249074,1.57955,0.684222
