Frame-No,RightHandIndex3-Joint-Posi-x,RightHandIndex3-Joint-Posi-y,RightHandIndex3-Joint-Posi-z,arm_length,forearm_length,hand_length,height
99,-0.201357,0.886329,0.227826,28,24,18,168
100,-0.201094,0.886109,0.227971,28,24,18,168
101,-0.200803,0.885972,0.228303,28,24,18,168
102,-0.200012,0.885851,0.228438,28,24,18,168
103,-0.199157,0.885823,0.228015,28,24,18,168
104,-0.198452,0.88631,0.228093,28,24,18,168
105,-0.198131,0.887262,0.228951,28,24,18,168
106,-0.198496,0.889713,0.231281,28,24,18,168
107,-0.1987,0.892349,0.234158,28,24,18,168
108,-0.200108,0.895602,0.237662,28,24,18,168
109,-0.20216,0.899078,0.241427,28,24,18,168
110,-0.204441,0.902712,0.245557,28,24,18,168
111,-0.20644,0.906794,0.25044,28,24,18,168
112,-0.207946,0.910519,0.255326,28,24,18,168
113,-0.209438,0.915186,0.261608,28,24,18,168
114,-0.210756,0.920513,0.268891,28,24,18,168
115,-0.211443,0.923926,0.275387,28,24,18,168
116,-0.212766,0.933087,0.285911,28,24,18,168
117,-0.213884,0.939105,0.294658,28,24,18,168
118,-0.215326,0.946763,0.305027,28,24,18,168
119,-0.217209,0.955287,0.316054,28,24,18,168
120,-0.218978,0.964092,0.326807,28,24,18,168
121,-0.221069,0.973241,0.33785,28,24,18,168
122,-0.223229,0.983737,0.350027,28,24,18,168
123,-0.225392,0.995136,0.362651,28,24,18,168
124,-0.227319,1.00711,0.374783,28,24,18,168
125,-0.230142,1.01778,0.386745,28,24,18,168
126,-0.232951,1.03036,0.399813,28,24,18,168
127,-0.235579,1.04337,0.413009,28,24,18,168
128,-0.237426,1.05657,0.425097,28,24,18,168
129,-0.239446,1.07079,0.438103,28,24,18,168
130,-0.241463,1.0843,0.450312,28,24,18,168
131,-0.242945,1.101,0.463003,28,24,18,168
132,-0.244538,1.11892,0.475202,28,24,18,168
133,-0.245691,1.13725,0.485769,28,24,18,168
