Frame-No,RightHandIndex3-Joint-Posi-x,RightHandIndex3-Joint-Posi-y,RightHandIndex3-Joint-Posi-z,arm_length,forearm_length,hand_length,height
0,-0.188319,0.905705,0.2326,28,24,18,168
1,-0.188326,0.905644,0.232466,28,24,18,168
2,-0.18822,0.905581,0.232375,28,24,18,168
3,-0.187924,0.905508,0.232301,28,24,18,168
4,-0.187601,0.905474,0.232339,28,24,18,168
5,-0.187411,0.905445,0.23237,28,24,18,168
6,-0.187244,0.905409,0.232296,28,24,18,168
7,-0.187064,0.905392,0.232128,28,24,18,168
8,-0.187027,0.905308,0.231886,28,24,18,168
9,-0.187158,0.905207,0.231694,28,24,18,168
10,-0.187645,0.904995,0.231262,28,24,18,168
11,-0.18781,0.904879,0.231042,28,24,18,168
12,-0.187904,0.904753,0.230838,28,24,18,168
13,-0.18801,0.904628,0.230694,28,24,18,168
14,-0.188118,0.90447,0.230531,28,24,18,168
15,-0.188227,0.904304,0.230354,28,24,18,168
16,-0.188498,0.904056,0.229944,28,24,18,168
17,-0.188685,0.903928,0.22966,28,24,18,168
18,-0.188909,0.903794,0.22932,28,24,18,168
19,-0.189204,0.903679,0.228978,28,24,18,168
20,-0.189451,0.903549,0.228635,28,24,18,168
21,-0.189835,0.903401,0.228104,28,24,18,168
22,-0.189948,0.903345,0.227887,28,24,18,168
23,-0.19005,0.903285,0.227695,28,24,18,168
24,-0.190097,0.903258,0.227592,28,24,18,168
25,-0.190119,0.903228,0.227447,28,24,18,168
26,-0.1902,0.903205,0.227295,28,24,18,168
27,-0.190347,0.90317,0.2271,28,24,18,168
28,-0.190548,0.903121,0.226921,28,24,18,168
29,-0.190754,0.903063,0.226699,28,24,18,168
30,-0.19092,0.903026,0.2265,28,24,18,168
31,-0.191069,0.902998,0.22637,28,24,18,168
32,-0.191148,0.902951,0.226257,28,24,18,168
33,-0.191195,0.90286,0.226194,28,24,18,168
34,-0.191206,0.902799,0.226151,28,24,18,168
35,-0.191255,0.902761,0.226147,28,24,18,168
36,-0.19129,0.902722,0.226173,28,24,18,168
37,-0.191368,0.90268,0.226169,28,24,18,168
38,-0.191415,0.902673,0.22622,28,24,18,168
39,-0.191634,0.902689,0.226225,28,24,18,168
40,-0.191741,0.902736,0.226297,28,24,18,168
41,-0.19185,0.902807,0.226378,28,24,18,168
42,-0.191952,0.902894,0.226474,28,24,18,168
43,-0.191988,0.902976,0.226537,28,24,18,168
44,-0.192043,0.903079,0.226605,28,24,18,168
45,-0.192016,0.903188,0.226669,28,24,18,168
46,-0.192028,0.903298,0.226762,28,24,18,168
47,-0.192039,0.903413,0.226851,28,24,18,168
48,-0.192068,0.903506,0.226928,28,24,18,168
49,-0.19207,0.903572,0.226978,28,24,18,168
