Actual_X,Actual_Y,Actual_Z,Predicted_X,Predicted_Y,Predicted_Z
-0.198768,0.943045,0.247319,-0.198768,0.943045,0.247319
-0.200939,0.973086,0.303892,-0.19868813455104828,0.9837714433670044,0.30932366847991943
-0.203521,1.02701,0.366161,-0.2057293802499771,1.0290279388427734,0.3788493275642395
-0.207052,1.07764,0.415877,-0.21932193636894226,1.1328506469726562,0.49530476331710815
-0.215564,1.13303,0.480177,-0.23077066242694855,1.2490546703338623,0.5950171947479248
-0.221957,1.18377,0.528946,-0.245303,1.35439,0.65979
-0.226674,1.23609,0.570919,,,
-0.23521,1.30242,0.619381,,,
-0.245303,1.35439,0.65979,,,
