speed,Latency,1,Ego_position,point.objects.object0.heading,point.objects.object0.position[0],point.objects.object0.position[1],point.objects.object0.speed,point.objects.object0.velocity[0],point.objects.object0.velocity[1],point.objects.object1.delay,point.objects.object1.heading,point.objects.object1.position[0],point.objects.object1.position[1],point.objects.object1.velocity[0],point.objects.object1.velocity[1],point.objects.object2.heading,point.objects.object2.position[0],point.objects.object2.position[1],point.objects.object2.speed,point.objects.object2.velocity[0],point.objects.object2.velocity[1],point.objects.object3.heading,point.objects.object3.position[0],point.objects.object3.position[1],point.objects.object3.speed,point.objects.object3.velocity[0],point.objects.object3.velocity[1],point.objects.object4.heading,point.objects.object4.position[0],point.objects.object4.position[1],point.objects.object4.speed,point.objects.object4.velocity[0],point.objects.object4.velocity[1],point.objects.object5.position[0],point.objects.object5.position[1],point.objects.object5.time_delay_gap,rho,label
38.67875362,115.5467779,1,41.56762906,-3.136433681,-9.529486931,41.56762906,38.67875362,0.199541744,-38.6782389,2.366254367,-0.055884577,-19.61800032,10.01041381,0,0,-3.136433598,-12.87745133,29.61163067,51.96762433,0.268102653,-51.96693275,-3.136433598,-12.25748027,34.67841961,41.7029349,0.215146788,-41.70237992,-3.136433598,-12.32045707,46.88535294,56.7510634,0.292780569,-56.75030816,-10.83240731,6.430943906,115.5467779,1.04442636,1
33.94346868,193.3922629,0,48.16414957,-3.136433681,-9.563518501,48.16414957,33.94346868,0.175112647,-33.94301698,0.183521559,0.010365974,-19.66399241,6.952062502,0,0,-3.136433598,-12.10049561,33.3450279,63.04063741,0.325228685,-63.03979847,-3.136433598,-13.08731321,41.1963837,71.9992053,0.371446226,-71.99824714,-3.136433598,-13.12007896,47.54744273,22.40115226,0.115568268,-22.40085415,-9.419819221,10.40039137,193.3922629,0.786969564,1
38.91404818,169.440594,0,46.38173154,-3.136433681,-9.554322974,46.38173154,38.91404818,0.200755617,-38.91353033,2.502355171,-0.055884577,-19.62477242,9.889359803,0,0,-3.136433598,-12.61017959,33.20298171,58.60942362,0.30236791,-58.60864365,-3.136433598,-12.57915558,41.6329704,70.10921866,0.361695724,-70.10828565,-3.136433598,-12.62541645,50.5998169,34.43236421,0.177637679,-34.43190598,-16.40383045,9.602581566,169.440594,0.429544615,1
36.50134512,114.4393011,1,29.17657513,-3.136433681,-9.465561257,29.17657513,36.50134512,0.188308603,-36.50085938,0.663408482,-0.055884577,-19.61890971,9.994157976,0,0,-3.136433598,-12.54972343,32.96393876,73.3734621,0.378536061,-73.37248565,-3.136433598,-12.63577232,41.12796283,47.21586115,0.243588153,-47.2152328,-3.136433598,-12.68651693,50.96390323,24.94876357,0.128711477,-24.94843156,-11.36002541,7.625667476,114.4393011,3.703840898,1
22.80954376,176.946054,1,30.00723864,-3.136433681,-9.469846665,30.00723864,22.80954376,0.117673289,-22.80924023,1.858284164,-0.055884577,-19.57835629,10.71906642,0,0,-3.136433598,-12.6531093,31.9353395,48.88765759,0.252213005,-48.887007,-3.136433598,-12.51514555,38.81444049,48.65071108,0.25099059,-48.65006364,-3.136433598,-12.57762885,50.92571646,62.32438546,0.321533518,-62.32355606,-13.62608655,8.149369064,176.946054,3.13741532,1
40.73154437,142.14958,1,31.13631552,-3.136433681,-9.475671593,31.13631552,40.73154437,0.210131988,-40.73100233,1.538127316,0.010365974,-19.66379502,6.933021176,0,0,-3.136433598,-12.60024385,32.70530136,67.64367792,0.34897592,-67.64277773,-3.136433598,-12.57372797,39.15275711,38.30243648,0.197603507,-38.30192676,-3.136433598,-12.62222283,48.55262418,37.82064168,0.195117912,-37.82013836,-16.11620735,11.1904259,142.14958,4.510167444,1
43.29420341,178.6096708,1,40.26807421,-3.136433681,-9.522782504,40.26807421,43.29420341,0.223352617,-43.29362727,2.847647828,0.010365974,-19.67070004,7.59912107,0,0,-3.136433598,-12.23692806,33.54377968,35.46625308,0.182971545,-35.46578109,-3.136433598,-12.95866314,42.50575885,65.64143333,0.338646275,-65.64055978,-3.136433598,-13.00304124,51.10766553,44.32709845,0.228684933,-44.32650855,-20.11649532,11.68056816,178.6096708,1.732615676,1
20.57439174,104.8177085,1,34.11715138,-3.136433681,-9.49104978,34.11715138,20.57439174,0.106142252,-20.57411795,0.491618089,0.010365974,-19.66999178,7.530797826,0,0,-3.136433598,-12.93415149,31.68412212,59.55746819,0.307258902,-59.5566756,-3.136433598,-12.23111032,38.48478047,47.95694262,0.247411416,-47.95630441,-3.136433598,-12.274542,46.90324002,66.83723339,0.344815446,-66.83634392,-16.07371053,9.203202411,104.8177085,3.465856191,1
29.76562233,186.6523903,1,50.79396629,-3.136433681,-9.577085774,50.79396629,29.76562233,0.153559348,-29.76522623,0.059045186,0.010365974,-19.65811187,6.384790225,0,0,-3.136433598,-12.38807334,29.77618319,23.66271062,0.122076689,-23.66239572,-3.136433598,-12.75791791,36.65884819,43.58075674,0.224834532,-43.58017677,-3.136433598,-12.78242526,41.40916266,66.82817605,0.344768719,-66.8272867,-15.07930237,5.899953576,186.6523903,1.395691989,1
35.59962789,144.0819377,1,48.65069508,-3.136433681,-9.566028598,48.65069508,35.59962789,0.183656689,-35.59915415,2.210315507,0.010365974,-19.65928453,6.497911611,0,0,-3.136433598,-12.84539789,32.32719069,54.15482732,0.279386504,-54.15410664,-3.136433598,-12.342098,42.1516318,38.18975228,0.197022166,-38.18924405,-3.136433598,-12.36998249,47.55654465,79.43549395,0.409810279,-79.43443683,-13.05554055,8.125839707,144.0819377,1.214083251,1
